-15	-15	0
-15	-14.9	0
-15	-13	0
-15	-13	0
-15	0	0
-15	0	30
-15	0	0
-15	13	0
-15	13	0
-15	14.9	0
-15	15	0

-7.5	-15	0
-7.5	-14.9	0
-7.5	-13	0
-7.5	-13	30
-7.5	0	30
-7.5	0	30
-7.5	0	30
-7.5	13	30
-7.5	13	0
-7.5	114.9	0
-7.5	15	0

0	-15	0
0	-14.9	30
0	-13	30
0	-13	30
0	0	30
0	0	30
0	0	30
0	13	30
0	13	30
0	15	30
0	15	0

7.5	-15	0
7.5	-15	0
7.5	-13	0
7.5	-13	30
7.5	0	30
7.5	0	30
7.5	0	30
7.5	13	30
7.5	13	0
7.5	15	0
7.5	15	0

15	-15	0
15	-15	0
15	-13	0
15	-13	0
15	0	0
15	0	30
15	0	0
15	13	0
15	13	0
15	15	0
15	15	0
