DO_0|Bomba 1|0|0|0|Off|On|
DO_8|Bomba 2|0|0|8|Off|On|
DO_16|Bomba 3|0|0|16|Off|On|
DO_24|Bomba 3|0|0|24|Off|On|
DO_32|VBomba 1|0|0|32|Off|On|
DO|VBomba 2|0|0|8|Off|On|
XPUMP1_DO|Bomba 1|0|0|1|Off|On|
XPUMP2_DO|Bomba 2|0|0|3|Off|On|
XPUMP3_DO|Bomba 3|0|0|5|Off|On|
XVPUMP1_DO|VBomba 1|0|0|7|Off|On|
XVPUMP2_DO|VBomba 2|0|0|9|Off|On|
YPUMP1_DO|Bomba 1|0|0|12|Off|On|
YPUMP2_DO|Bomba 2|0|0|13|Off|On|
YPUMP3_DO|Bomba 3|0|0|14|Off|On|
YVPUMP1_DO|VBomba 1|0|0|15|Off|On|
#EV1|Electrovalvula 1|0|0|0|Off|On|
#EV2|Electrovalvula 2|0|0|1|Off|On|
#EV3|Electrovalvula 3|0|0|2|Off|On|
#HOLD|Hold Signal|0|0|5|Off|On|
#DOSpare2|Spare 2|0|0|6|Off|On|
#DOSpare3|Spare 3|0|0|7|Off|On|
#    Tag
#    Description
#    Driver Number
#    Card
#    Channel
#    Low Description
#    High Description
