A6	5:00:00
B1	5:13:30
B3	5:27:00
B5	5:33:45
B6	5:40:30
C1	5:54:00
C2	6:00:00
C3	6:04:30
C4	6:09:00
C5	6:13:30
C6	6:18:00
C7	6:22:30
C8	6:27:00
D1	6:31:30
D2	6:36:00
D3	6:40:30
D4	6:45:00
D5	6:49:30
D6	6:54:00
D7	6:58:30
D8	7:03:00
E1	7:07:30
E2	7:12:00
E3	7:16:30
E4	7:21:00
E5	7:25:30
E6	7:30:00
E7	7:34:30
E8	7:39:00
F1	7:43:30
F2	7:48:00
F3	7:52:30
F4	7:57:00
F5	8:01:30
F6	8:06:00
F7	8:10:30
F8	8:15:00
G1	8:19:30
G2	8:24:00
G3	8:28:30
G4	8:33:00
G5	8:37:30
G6	8:42:00
G7	8:46:30
G8	8:51:00
H1	8:55:30
H2	9:00:00
H3	9:04:30
H4	9:09:00
H5	9:13:30
H6	9:18:00
H7	9:22:30
H8	9:27:00
I1	9:31:30
I2	9:36:00
I3	9:40:30
I4	9:45:00
I5	9:52:15
I7	9:59:30
I8	10:06:45
J2	10:14:00
J4	10:21:15
J5	10:28:30
J7	10:35:45
J8	10:43:00
K2	10:50:15
K4	10:57:30
K5	11:04:45
K7	11:12:00
K8	11:19:15
L2	11:26:30
L4	11:33:45
L5	11:41:00
L7	11:48:15
L8	11:55:30
M2	12:02:45
M4	12:10:00
M5	12:17:15
M7	12:24:30
M8	12:31:45
N2	12:39:00
N4	12:46:15
N5	12:53:30
N7	13:00:45
N8	13:08:00
O2	13:15:15
O3	13:22:30
O4	13:28:30
O5	13:34:30
O7	13:40:30
O8	13:46:30
P2	13:52:30
P3	13:58:30
P4	14:04:30
P5	14:10:30
P7	14:16:30
P8	14:22:30
Q2	14:28:30
Q3	14:34:30
Q4	14:40:30
Q5	14:46:30
Q7	14:52:30
Q8	14:58:30
R2	15:04:30
R3	15:10:30
R4	15:16:30
R5	15:22:30
R7	15:28:30
R8	15:35:45
S2	15:43:00
S3	15:50:15
S4	15:57:30
S7	16:04:45
S8	16:12:00
T2	16:19:15
T3	16:26:30
T4	16:33:45
T7	16:41:00
T8	16:48:15
U2	16:55:30
U3	17:02:45
U4	17:10:00
U7	17:17:15
U8	17:24:30
V1	17:29:00
V2	17:33:30
V3	17:38:00
V3/4	17:42:00
V4/5	17:47:00
V6	17:51:30
V7	17:56:00
V8	18:00:30
W1	18:05:00
W2	18:09:30
W3	18:14:00
W4	18:18:30
W5	18:23:00
W6	18:27:30
W7	18:32:00
W8	18:36:30
X1	18:41:00
X2	18:45:30
X3	18:50:00
X4	18:54:30
X5	18:59:00
X6	19:03:30
X7	19:08:00
X8	19:12:30
Y1	19:17:00
Y2	19:21:30
Y3	19:26:00
Y4	19:30:30
Y5	19:35:00
Y6	19:39:30
Y7	19:44:00
Y8	19:48:30
Z1	19:53:00
Z2	19:57:30
Z3	20:02:00
Z4	20:06:30
Z5	20:11:00
Z6	20:15:30
Z7	20:20:00
Z8	20:27:15
AA2	20:34:30
AA3	20:41:45
AA5	20:49:00
AA7	20:56:15
AA8	21:03:30
AB2	21:10:45
AB3	21:18:00
AB5	21:25:00
AB7	21:37:00
AC2	21:49:00
AC3	21:55:00
AC5	22:01:00
AC7	22:13:00
AD2	22:25:00
AD5	22:37:00
