LO_LEVEL|Nivel Bajo|0|1|0|BELOW|ABOVE|H|N|
HI_LEVEL|Nivel Alto|0|1|1|BELOW|ABOVE|H|N|
HI_HI_LEVEL|Nivel Muy Alto|0|1|2|BELOW|ABOVE|H|N|
ULT_SON_ALM|Nivel Muy Alto|0|1|3|OK|ALARM|H|N|
CFE_SUPPLY|Falla de alimentacion CFE|0|1|8|ALARM|OK|H|N|
MIXER|Mescladora ON|0|1|10|ON|OFF|H|N|
VPUMP1_ON|Bomba V1 ON|0|0|6|ON|OFF|H|N|
VPUMP2_ON|Bomba V2 ON|0|0|7|ON|OFF|H|N|
PUMP1_ON|Bomba 1 ON|0|0|8|ON|OFF|H|N|
PUMP2_ON|Bomba 1 ON|0|0|9|ON|OFF|H|N|
PUMP3_ON|Bomba 1 ON|0|0|10|ON|OFF|H|N|
COM_FAILED|Communications Failed|0|1|16|ALARM|OK|N|N|
#    Tag
#    Description
#    Driver Number
#    Card
#    Channel
#    Low Description
#    High Description
#    Alarm State
#    Shutdown State
DI_000|Discrete Input 000|0|0|0|closed|open|N|N|
DI_001|Discrete Input 001|0|0|1|off|on|N|N|
DI_002|Discrete Input 002|0|0|2|ok|alarm|N|N|
DI_003|Discrete Input 003|0|0|3|ok|failed|N|N|
DI_004|Discrete Input 004|0|0|4|closed|open|N|N|
DI_005|Discrete Input 005|0|0|5|off|on|N|N|
DI_006|Discrete Input 006|0|0|6|ok|alarm|N|N|
DI_007|Discrete Input 007|0|0|7|ok|failed|N|N|
DI_008|Discrete Input 008|0|0|8|closed|open|N|N|
DI_009|Discrete Input 009|0|0|9|off|on|N|N|
DI_010|Discrete Input 010|0|0|10|ok|alarm|N|N|
DI_011|Discrete Input 011|0|0|11|ok|failed|N|N|
DI_012|Discrete Input 012|0|0|12|closed|open|N|N|
DI_013|Discrete Input 013|0|0|13|off|on|N|N|
DI_014|Discrete Input 014|0|0|14|ok|alarm|N|N|
DI_015|Discrete Input 015|0|0|15|ok|failed|N|N|
DI_016|Discrete Input 016|0|0|16|closed|open|N|N|
DI_017|Discrete Input 017|0|0|17|off|on|N|N|
DI_018|Discrete Input 018|0|0|18|ok|alarm|N|N|
DI_019|Discrete Input 019|0|0|19|ok|failed|N|N|
DI_020|Discrete Input 020|0|0|20|closed|open|N|N|
DI_021|Discrete Input 021|0|0|21|off|on|N|N|
DI_022|Discrete Input 022|0|0|22|ok|alarm|N|N|
DI_023|Discrete Input 023|0|0|23|ok|failed|N|N|
DI_024|Discrete Input 024|0|0|24|closed|open|N|N|
DI_025|Discrete Input 025|0|0|25|off|on|N|N|
DI_026|Discrete Input 026|0|0|26|ok|alarm|N|N|
DI_027|Discrete Input 027|0|0|27|ok|failed|N|N|
DI_028|Discrete Input 028|0|0|28|closed|open|N|N|
DI_029|Discrete Input 029|0|0|29|off|on|N|N|
DI_030|Discrete Input 030|0|0|30|ok|alarm|N|N|
DI_031|Discrete Input 031|0|0|31|ok|failed|N|N|
DI_032|Discrete Input 032|0|0|32|closed|open|N|N|
DI_033|Discrete Input 033|0|0|33|off|on|N|N|
DI_034|Discrete Input 034|0|0|34|ok|alarm|N|N|
DI_035|Discrete Input 035|0|0|35|ok|failed|N|N|
DI_036|Discrete Input 036|0|0|36|closed|open|N|N|
DI_037|Discrete Input 037|0|0|37|off|on|N|N|
DI_038|Discrete Input 038|0|0|38|ok|alarm|N|N|
DI_039|Discrete Input 039|0|0|39|ok|failed|N|N|
DI_040|Discrete Input 040|0|0|40|closed|open|N|N|
DI_041|Discrete Input 041|0|0|41|off|on|N|N|
DI_042|Discrete Input 042|0|0|42|ok|alarm|N|N|
DI_043|Discrete Input 043|0|0|43|ok|failed|N|N|
DI_044|Discrete Input 044|0|0|44|closed|open|N|N|
DI_045|Discrete Input 045|0|0|45|off|on|N|N|
DI_046|Discrete Input 046|0|0|46|ok|alarm|N|N|
DI_047|Discrete Input 047|0|0|47|ok|failed|N|N|
DI_048|Discrete Input 048|0|0|48|closed|open|N|N|
DI_049|Discrete Input 049|0|0|49|off|on|N|N|
DI_050|Discrete Input 050|0|0|50|ok|alarm|N|N|
DI_051|Discrete Input 051|0|0|51|ok|failed|N|N|
DI_052|Discrete Input 052|0|0|52|closed|open|N|N|
DI_053|Discrete Input 053|0|0|53|off|on|N|N|
DI_054|Discrete Input 054|0|0|54|ok|alarm|N|N|
DI_055|Discrete Input 055|0|0|55|ok|failed|N|N|
DI_056|Discrete Input 056|0|0|56|closed|open|N|N|
DI_057|Discrete Input 057|0|0|57|off|on|N|N|
DI_058|Discrete Input 058|0|0|58|ok|alarm|N|N|
DI_059|Discrete Input 059|0|0|59|ok|failed|N|N|
DI_060|Discrete Input 060|0|0|60|closed|open|N|N|
DI_061|Discrete Input 061|0|0|61|off|on|N|N|
DI_062|Discrete Input 062|0|0|62|ok|alarm|N|N|
DI_063|Discrete Input 063|0|0|63|ok|failed|N|N|
DI_064|Discrete Input 064|0|0|64|closed|open|N|N|
DI_065|Discrete Input 065|0|0|65|off|on|N|N|
DI_066|Discrete Input 066|0|0|66|ok|alarm|N|N|
DI_067|Discrete Input 067|0|0|67|ok|failed|N|N|
DI_068|Discrete Input 068|0|0|68|closed|open|N|N|
DI_069|Discrete Input 069|0|0|69|off|on|N|N|
DI_070|Discrete Input 070|0|0|70|ok|alarm|N|N|
DI_071|Discrete Input 071|0|0|71|ok|failed|N|N|
