#AO0|Motor Control|%|7|0|0|0|10|0|10|1|0|100|
#AO1|Motor Control|%|7|0|1|0|10|0|10|1|0|500|
#AO2|Motor Control|%|7|0|2|0|10|0|10|1|0|500|
#AO3|Motor Control|%|7|0|3|0|10|0|10|1|0|500|
#    AO1|Analog Output 1|PSI|0|0|0|0|100|0|10|1|0|10|
#    Tag
#    Description
#    Engineering Units Label
#    Driver Number
#    Card
#    Channel
#    Engineering Units Low
#    Engineering Units High
#    Raw Value Low
#    Raw Value High
#    Decimal Places
#    Output Limit Low
#    Output Limit High
AO_000|Analong Output 000|%|0|0|0|0|10|0|10|1|0|100|
AO_001|Analong Output 001|%|0|0|1|0|10|0|10|1|0|100|
AO_002|Analong Output 002|%|0|0|2|0|10|0|10|1|0|100|
AO_003|Analong Output 003|%|0|0|3|0|10|0|10|1|0|100|
AO_004|Analong Output 004|%|0|0|4|0|10|0|10|1|0|100|
AO_005|Analong Output 005|%|0|0|5|0|10|0|10|1|0|100|
AO_006|Analong Output 006|%|0|0|6|0|10|0|10|1|0|100|
AO_007|Analong Output 007|%|0|0|7|0|10|0|10|1|0|100|
AO_008|Analong Output 008|%|0|0|8|0|10|0|10|1|0|100|
AO_009|Analong Output 009|%|0|0|9|0|10|0|10|1|0|100|
AO_010|Analong Output 010|%|0|0|10|0|10|0|10|1|0|100|
AO_011|Analong Output 011|%|0|0|11|0|10|0|10|1|0|100|
AO_012|Analong Output 012|%|0|0|12|0|10|0|10|1|0|100|
AO_013|Analong Output 013|%|0|0|13|0|10|0|10|1|0|100|
AO_014|Analong Output 014|%|0|0|14|0|10|0|10|1|0|100|
AO_015|Analong Output 015|%|0|0|15|0|10|0|10|1|0|100|
AO_016|Analong Output 016|%|0|0|16|0|10|0|10|1|0|100|
AO_017|Analong Output 017|%|0|0|17|0|10|0|10|1|0|100|
AO_018|Analong Output 018|%|0|0|18|0|10|0|10|1|0|100|
AO_019|Analong Output 019|%|0|0|19|0|10|0|10|1|0|100|
AO_020|Analong Output 020|%|0|0|20|0|10|0|10|1|0|100|
AO_021|Analong Output 021|%|0|0|21|0|10|0|10|1|0|100|
AO_022|Analong Output 022|%|0|0|22|0|10|0|10|1|0|100|
AO_023|Analong Output 023|%|0|0|23|0|10|0|10|1|0|100|
